account_name,handle,text,posted_at,replies,reposts,likes,url
ひとり旅の段取り帳,@jikankanrishi,#ヤマフレーム でお気に入りの一枚を加工🗻🌸 桃の花が満開の新府（山梨県）から眺めた富士山。八ヶ岳や甲斐駒ヶ岳も望める大好きな場所です。 療養中ですが、写真を加工していると気持ちが上がり、また旅に出たくなります。 pic.x.com/Y0xBuh9qBj,7月26日(日) 6:50,,1,1,https://x.com/jikankanrishi/status/2081135044287209958
🌲ホーリー🏕ソロキャンプ🌲,@Holye_solo_Camp,#ヤマフレーム　キャンプにも温泉でも、なんでも簡単に使えていい✨ pic.x.com/WdycF80EVE,7月26日(日) 6:12,,1,7,https://x.com/Holye_solo_Camp/status/2081125336092471562
SHIINA,@SHIINA_shion,ヤマフレーム使って画像作ってみた！ 先週に海沿いツーリングした時の写真 #ヤマフレーム pic.x.com/Pj5xI3zPrT,7月25日(土) 23:57,,1,1,https://x.com/SHIINA_shion/status/2081030981621014630
Buglepong,@buglepong,海外の方にも届いてる！ #ヤマフレーム x.com/buglepong/stat…,7月25日(土) 23:14,,,,https://x.com/r_outdoor_photo/status/2081020232290938920
Ryo Takano,@r_outdoor_photo,リリースして2日 #ヤマフレーム のユーザー数がついに1000人を超えました！ あとはどれだけ使い続けてもらえるか、工夫が必要ですね。 皆様の楽しい・美しい山行記録、お待ちしております！ pic.x.com/w789FUhBoP,7月25日(土) 22:35,1,2,10,https://x.com/r_outdoor_photo/status/2081010497751761382
Ryo Takano,@r_outdoor_photo,いいぞこれ #ヤマフレーム pic.x.com/kr3ojHsv2Y x.com/r_outdoor_phot…,7月25日(土) 22:09,,1,1,https://x.com/Butcher_02983/status/2081003843417170354
Ryo Takano,@r_outdoor_photo,#ヤマフレーム 日光男体山など、有名な山は英語つきの解説までそのままついてきますが、ちょっとマイナーな場所でも自分で解説書いて良い感じのPR画像にできますね！ 操作も簡単で助かる！！ pic.x.com/RGBx5Zdxqc x.com/r_outdoor_phot…,7月25日(土) 22:06,,1,1,https://x.com/siho865685kusa/status/2081003201785155746
信彦,@nobuhiko_1973,面白いアプリを見つけたのでやってみた #ヤマフレーム pic.x.com/C53St2bMCs,7月25日(土) 21:30,,1,17,https://x.com/nobuhiko_1973/status/2080994186116165642
Ryo Takano,@r_outdoor_photo,試しに使ってみたけどめっちゃ良いわ！ またお気に入りの写真で遊んでみよ🕺🏻 #ヤマフレーム pic.x.com/UbxV8ewrpG x.com/r_outdoor_phot…,7月25日(土) 18:41,,1,2,https://x.com/anaya_xp/status/2080951517029511550
Del Luna🌙,@UtSak3,やばい、このWEBアプリ #ヤマフレーム❗️ 冬の写真を引っ張り出して使ったら雪山🏔️行きたくなってきたー🤣 製作者の方に感謝(•ᵕᴗᵕ•)⁾⁾ぺこ #ヤマフレーム yamaframe.com pic.x.com/rPHReCvUYq,7月25日(土) 17:38,,1,3,https://x.com/UtSak3/status/2080935685406818590
こまさぶろう with ゴールデンレトリバー and ninja1000,@komasaburo0287,続いて光岳。 どうにも登山道中では光岳山体の良い画角がなかったのでは、仕方ないので小聖の手前あたりから撮ったもので作成。 #ヤマフレーム pic.x.com/KV2vSvo9Ln,7月25日(土) 17:14,,,,https://x.com/komasaburo0287/status/2080929763372490905
こまさぶろう with ゴールデンレトリバー and ninja1000,@komasaburo0287,山に行けない週末なので、ヤマフレームで遊ぶ。 まずは、先日にお邪魔した聖岳。 #ヤマフレーム pic.x.com/lvZAUga0ab,7月25日(土) 16:43,,1,1,https://x.com/komasaburo0287/status/2080921845151457760
Ryo Takano,@r_outdoor_photo,リリース以来1000名近いユーザーにご利用いただいているwebアプリ #ヤマフレーム ですが、皆様のお声を反映してアップデートいたしました！ ①山名を直接入力して使う『そのまま使うモード』を実装 pic.x.com/Qjk5ZZUkhB,7月25日(土) 12:31,1,17,80,https://x.com/r_outdoor_photo/status/2080858450763141466
Rensannོ ｜れོんさん,@RensannCmr,ありがとうございます！ 季節の変わり目、そして時間の変わり目の写真。雰囲気があって素敵です！ 空を解説で埋めるとやっぱりポスター感あっていいですね #ヤマフレーム x.com/RensannCmr/sta…,7月25日(土) 11:24,,,,https://x.com/r_outdoor_photo/status/2080841675342328232
おん,@snowontacker,楽しい #ヤマフレーム pic.x.com/uaCD7w2QZj,7月25日(土) 10:30,,,3,https://x.com/snowontacker/status/2080827986190967163
Ryo Takano,@r_outdoor_photo,昨日リリースした #ヤマフレーム 24時間でユーザー数が700人を超えました！ 正直ここまで使っていただけるとは思っていなかったので本当にありがとうございます。 アイデアや改善案もめちゃくちゃ有意義なものが出てきていて、理想的な流れです。 pic.x.com/gGSGYhCJ3a x.com/r_outdoor_phot…,7月25日(土) 9:36,,,,https://x.com/r_outdoor_photo/status/2080814488622956849
Ryo Takano,@r_outdoor_photo,流行りにのってみました♬ #西穂高岳 #ヤマフレーム pic.x.com/yGMCOisC0C x.com/r_outdoor_phot…,7月24日(金) 21:57,,,,https://x.com/runoutridge/status/2080638520646128029
KEN−,@kenichi_outdoor,話題の神アプリなんて言っていただけて嬉しいです！ #ヤマフレーム ってやってること自体そんなに難しいことじゃないし、最近TLに流れてくるアプリほど斬新なアイデアでもないと思います。 ですが、意外とこういった文字入れ画像作るのっていちいちめんどくさい。 x.com/kenichi_outdoo…,7月24日(金) 21:46,,,,https://x.com/r_outdoor_photo/status/2080635811054432274
climber,@mt_climber,これめちゃくちゃいいと思っていて、#ヤマフレーム って他の無料アプリツールとの組み合わせでいくらでも山写真をおしゃれに自分好みにできちゃうと思うんですよ。 x.com/mt_climber/sta…,7月24日(金) 21:45,,,,https://x.com/r_outdoor_photo/status/2080635375522107806
⛰️うみひょう⛰️,@umihyo_yamayama,これポスターとして印刷したら楽しそう。 #ヤマフレーム x.com/umihyo_yamayam…,7月24日(金) 21:40,,,,https://x.com/r_outdoor_photo/status/2080634306490437637
Ryo Takano,@r_outdoor_photo,サクッとこのクオリティの素材が作れるの、 控えめ言って激しく凄い。 #ヤマフレーム pic.x.com/kzEcVcdc15 x.com/r_outdoor_phot…,7月24日(金) 21:23,,1,2,https://x.com/Ethics_Niki/status/2080629998449508791
KEN−,@kenichi_outdoor,最近話題の神アプリを使ってみました。これは流行りそう！写真は涼しげな二王子岳さんです @r_outdoor_photo #ヤマフレーム pic.x.com/EjJb3XlVpq,7月24日(金) 20:52,2,1,5,https://x.com/kenichi_outdoor/status/2080622165800763827
Ryo Takano,@r_outdoor_photo,#ヤマフレーム で編集しました x.com/r_outdoor_phot…,7月24日(金) 19:01,,,,https://x.com/r_outdoor_photo/status/2080594217588740584
記録ちゃん,@kirokuchan2,お恥ずかしながら、籠ノ登山を初めて知りました！ このアプリが流行るとTLに自分の知らなかった山が写真と共にわかりやすく投稿されるってことか。 頼む流行ってくれ！ #ヤマフレーム x.com/kirokuchan2/st…,7月24日(金) 12:52,,,7,https://x.com/r_outdoor_photo/status/2080501366108373339
K i o,@sabraka3180,ヨーロッパの山かと思った笑 #ヤマフレーム x.com/sabraka3180/st…,7月24日(金) 12:51,,,,https://x.com/r_outdoor_photo/status/2080501214249447841
統合開発環境,@imakaracloud,これはオシャレ… #ヤマフレーム yamaframe.com pic.x.com/6AEHNgfjNI,7月24日(金) 12:46,,1,3,https://x.com/imakaracloud/status/2080499798252380349
climber,@mt_climber,理想的な使い方です！ 1枚目みたいにサムネイル風におしゃれに仕上げてもいいし、2枚目みたいに青空の中に説明文を加えるのもいいですね！ たぶん僕もまだ使いこなせてないので、皆様のアイデア投稿お待ちしております！ #ヤマフレーム x.com/mt_climber/sta…,7月24日(金) 0:05,,,,https://x.com/r_outdoor_photo/status/2080308398114136066
RYUICHI,@RYUICHI20250616,山登りをあまりしないという方にも、このアプリを見つけていただけたのが本当に嬉しいです！ 「山登りをする人→山に登る体験の共有」として使える。 それに対して、「風景を撮る人→山が写った作品」として使えると作りながら思っていました！ #ヤマフレーム x.com/ryuichi2025061…,7月23日(木) 21:52,,,,https://x.com/r_outdoor_photo/status/2080274916814000301
RYUICHI,@RYUICHI20250616,p.sの部分 このアプリでは国土地理院の公開データなどを参照しているのですが、参照データには桜島の名前がなかったのかもしれません。 アップデート案とさせていただきたいと思います！ #ヤマフレーム x.com/ryuichi2025061…,7月23日(木) 21:52,,,,https://x.com/r_outdoor_photo/status/2080274810354164201
Ryo Takano,@r_outdoor_photo,"山の写真に山名・標高・解説を美しく重ねて、ポスターのような一枚に仕上げるアプリを友人と作りました！ 約27,000座の山岳辞書から選ぶだけで、英名や解説も自動で添えられます。 無料・登録不要のwebアプリ ブラウザで開くだけで使えます！ #ヤマフレーム yamaframe.com pic.x.com/jCDjq4aNYk",7月23日(木) 20:02,7,84,338,https://x.com/r_outdoor_photo/status/2080247185061679108
